room_type,required_car_parking_spaces,special_requests,rate,total_guests,hotel_type,parking,restaurant,pool_and_spa,avg_review,cancelled_last_30_days,advance_reservation_days,board_FB,board_SC,distribution_channel_Direct,distribution_channel_TA/TO,country_POR,country_SPA,market_segment_Complementary,market_segment_Direct,market_segment_Leisure
1,0,1,-1.1847004049062606,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8182979015021435,0,0,0,0,0,1,0,0,0
1,0,1,-1.1847004049062606,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8182979015021435,0,0,0,0,0,1,0,0,0
1,0,1,0.5200926042608831,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8182979015021435,0,0,0,0,0,1,0,0,0
1,0,1,-1.1847004049062606,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,0,0,0,1,0,0,0
1,0,1,-0.7775724057725683,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.5722733458293888,0,0,0,0,0,1,0,0,0
1,0,1,-1.1847004049062606,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8182979015021435,0,0,0,0,0,1,0,0,0
1,0,1,-1.1847004049062606,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,0,0,0,1,0,0,0
1,0,1,-1.1847004049062606,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,0,0,0,1,0,0,0
1,0,1,-1.1784368972272807,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8182979015021435,0,0,0,0,0,1,0,0,0
1,0,1,-1.1784368972272807,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,0,0,0,1,0,0,0
1,0,1,-0.7650453904146085,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,0,0,0,1,0,0,0
1,0,1,-0.7650453904146085,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8182979015021435,0,0,0,0,0,1,0,0,0
1,0,1,-0.5896671754031719,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.6858231407552756,0,0,0,0,0,1,0,0,0
1,0,1,-0.7775724057725683,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8372228673231247,0,0,0,0,0,1,0,0,0
