Feature,Importance
num__lead_time,1074.0
num__lead_price_interaction,992.0
num__price_per_person,845.0
num__price_per_night,758.0
num__rate,571.0
num__special_requests,371.0
num__special_requests_ratio,328.0
num__stay_nights,257.0
num__required_car_parking_spaces,233.0
cat__country_x_SPA,197.0
num__price_length_interaction,182.0
num__guests_price_interaction,173.0
num__total_rooms,152.0
num__avg_review,137.0
num__total_guests,126.0
cat__room_type_A,115.0
cat__lead_time_category_short,96.0
cat__room_type_D,91.0
num__num_assets,87.0
cat__stay_duration_category_2-3_nights,83.0
cat__market_segment_Groups,83.0
cat__price_category_medium,79.0
cat__board_BB,79.0
cat__price_category_low,69.0
cat__board_SC,68.0
cat__market_segment_Offline TA/TO,68.0
cat__lead_time_category_medium,66.0
cat__country_x_GBR,66.0
cat__stay_duration_category_4-7_nights,63.0
cat__market_segment_Online TA,62.0
cat__price_category_high,60.0
cat__distribution_channel_TA/TO,58.0
cat__country_x_FRA,57.0
cat__market_segment_Direct,55.0
cat__country_x_POR,54.0
cat__room_type_E,51.0
cat__continent_customer_Europa,50.0
cat__distribution_channel_Direct,48.0
cat__country_y_SPA,41.0
cat__distribution_channel_Corporate,39.0
cat__lead_time_category_last_minute,38.0
cat__market_segment_Corporate,36.0
cat__board_HB,32.0
cat__price_category_missing,31.0
cat__country_x_DEU,28.0
cat__country_x_IRL,28.0
num__parking_ratio,27.0
cat__distribution_channel_missing,27.0
cat__stay_duration_category_1_night,25.0
cat__country_x_missing,24.0
cat__price_category_very_high,24.0
cat__lead_time_category_long,23.0
cat__country_x_ITA,23.0
cat__price_category_very_low,23.0
cat__market_segment_missing,23.0
cat__board_missing,23.0
cat__continent_customer_Desconocido,22.0
cat__stay_duration_category_missing,20.0
cat__hotel_type_City Hotel,20.0
cat__continent_customer_África,20.0
cat__country_x_CHE,20.0
cat__continent_customer_Asia,19.0
cat__country_x_NLD,18.0
cat__country_y_POR,18.0
cat__country_x_BEL,17.0
cat__continent_customer_América del Sur,16.0
cat__room_type_B,14.0
cat__country_x_BRA,14.0
cat__room_type_F,14.0
cat__continent_customer_América del Norte,14.0
cat__country_x_DNK,14.0
cat__country_x_CHN,13.0
cat__room_type_C,13.0
cat__country_x_ROU,13.0
cat__country_x_AUT,12.0
cat__distribution_channel_GDS,12.0
cat__country_x_SWE,12.0
cat__market_segment_Complementary,11.0
cat__country_x_NOR,11.0
cat__country_x_POL,11.0
cat__stay_duration_category_8-14_nights,11.0
cat__country_x_ARE,10.0
cat__country_x_LUX,10.0
cat__room_type_G,10.0
cat__country_x_GIB,10.0
cat__country_y_FRA,10.0
cat__country_x_JPN,10.0
cat__country_x_FIN,9.0
cat__country_x_MAC,9.0
cat__country_x_CN,9.0
cat__board_FB,8.0
cat__country_x_HRV,8.0
cat__country_x_VEN,8.0
cat__country_x_USA,8.0
cat__continent_customer_Oceanía,7.0
cat__country_x_IND,7.0
cat__country_x_HUN,7.0
cat__country_x_AUS,7.0
cat__country_x_LTU,7.0
cat__country_x_SAU,7.0
cat__country_x_GRC,6.0
cat__country_x_TUR,6.0
cat__country_x_RUS,6.0
cat__market_segment_Aviation,6.0
cat__country_x_THA,6.0
cat__country_x_KOR,6.0
cat__country_x_HKG,6.0
cat__country_x_BGR,6.0
cat__country_x_CZE,6.0
cat__country_x_NGA,5.0
cat__country_x_PHL,5.0
cat__country_x_MEX,4.0
cat__country_x_LVA,4.0
cat__country_x_AGO,4.0
cat__room_type_P,4.0
cat__country_x_MAR,3.0
cat__country_x_ZAF,3.0
cat__country_x_SVN,3.0
cat__country_x_CHL,3.0
cat__room_type_L,3.0
cat__country_x_DZA,2.0
cat__country_x_SGP,2.0
cat__lead_time_category_very_long,2.0
cat__country_x_ISR,2.0
cat__room_type_H,2.0
cat__country_x_IDN,2.0
cat__country_x_ARG,2.0
cat__country_x_NZL,2.0
cat__board_Undefined,2.0
cat__country_x_EST,2.0
cat__country_x_TWN,1.0
cat__country_x_UKR,1.0
cat__country_x_SVK,1.0
cat__country_x_MOZ,1.0
cat__country_x_SRB,1.0
cat__country_x_COL,1.0
cat__country_x_PER,1.0
cat__country_x_EGY,1.0
cat__country_x_STP,0.0
cat__country_x_GEO,0.0
cat__country_x_CYP,0.0
cat__country_x_DOM,0.0
cat__country_x_ECU,0.0
cat__country_x_ETH,0.0
cat__country_x_GAB,0.0
cat__country_x_GHA,0.0
cat__country_x_CUB,0.0
cat__hotel_type_Resort Hotel,0.0
cat__country_x_GNB,0.0
cat__country_x_IRN,0.0
cat__country_x_IRQ,0.0
cat__country_x_ISL,0.0
cat__country_x_JAM,0.0
cat__country_x_JEY,0.0
cat__country_x_CYM,0.0
cat__country_x_CPV,0.0
cat__country_x_CRI,0.0
cat__country_x_KAZ,0.0
cat__country_x_ALB,0.0
cat__continent_customer_Otros,0.0
cat__country_x_AND,0.0
cat__country_x_ARM,0.0
cat__country_x_AZE,0.0
cat__country_x_BEN,0.0
cat__country_x_BGD,0.0
cat__country_x_BIH,0.0
cat__country_x_BLR,0.0
cat__country_x_BOL,0.0
cat__country_x_BRB,0.0
cat__country_x_CAF,0.0
cat__country_x_CIV,0.0
cat__stay_duration_category_15+_nights,0.0
cat__country_x_CMR,0.0
cat__country_x_JOR,0.0
cat__country_x_KHM,0.0
cat__country_x_KEN,0.0
cat__country_x_QAT,0.0
cat__country_x_VNM,0.0
cat__country_x_PAK,0.0
cat__country_x_UZB,0.0
cat__country_x_URY,0.0
cat__country_x_PRI,0.0
cat__country_x_UGA,0.0
cat__country_x_PRY,0.0
cat__country_x_TUN,0.0
cat__country_x_SUR,0.0
cat__country_x_TMP,0.0
cat__country_x_RWA,0.0
cat__country_x_TGO,0.0
cat__country_x_SYR,0.0
cat__country_x_SYC,0.0
cat__country_x_SDN,0.0
cat__country_x_SEN,0.0
cat__country_x_OMN,0.0
cat__country_x_ZMB,0.0
cat__country_x_ZWE,0.0
cat__country_x_NPL,0.0
cat__country_x_KWT,0.0
cat__country_x_LBN,0.0
cat__distribution_channel_Undefined,0.0
cat__country_x_LBY,0.0
cat__country_x_LIE,0.0
cat__country_x_LKA,0.0
cat__country_x_MCO,0.0
cat__country_x_MDV,0.0
cat__country_x_MKD,0.0
cat__country_x_MLT,0.0
cat__country_x_MNE,0.0
cat__country_x_MUS,0.0
cat__country_x_MWI,0.0
cat__country_x_MYS,0.0
cat__country_x_NCL,0.0
cat__continent_hotel_Europa,0.0
