Feature,Importance
cat__lead_time_category_very_long,0.16388655
num__lead_time,0.13263914
num__lead_price_interaction,0.12073058
cat__lead_time_category_last_minute,0.092370346
cat__lead_time_category_long,0.07864241
cat__lead_time_category_short,0.05417368
cat__market_segment_Online TA,0.045689814
cat__lead_time_category_medium,0.038093813
cat__country_x_SPA,0.035667915
cat__market_segment_Offline TA/TO,0.018061226
num__required_car_parking_spaces,0.01698845
num__special_requests,0.014754592
num__avg_review,0.011170014
cat__distribution_channel_TA/TO,0.010853877
cat__market_segment_Groups,0.010814912
cat__country_x_FRA,0.009526882
cat__country_x_GBR,0.009277919
num__stay_nights,0.008642655
num__price_deviation,0.008172359
cat__hotel_id_r1,0.0077538984
cat__stay_duration_category_1_night,0.007473101
cat__stay_duration_category_2-3_nights,0.007469771
num__total_guests,0.0072184145
cat__distribution_channel_Corporate,0.007217275
cat__country_x_DEU,0.0065953615
cat__board_HB,0.006069434
num__special_requests_ratio,0.005597871
cat__board_BB,0.0053847777
cat__country_x_POR,0.0052772895
cat__market_segment_Corporate,0.005095335
num__price_per_night,0.0049132584
cat__hotel_id_r5,0.004633158
num__total_rooms,0.0039228764
num__total_cost,0.0038950597
num__price_length_interaction,0.0038411953
cat__country_x_AUT,0.0037954627
cat__country_x_POL,0.003692936
num__rate,0.0036446003
cat__country_x_IRL,0.0036367301
num__price_per_person,0.0032043285
cat__hotel_id_c1,0.0028671229
cat__board_SC,0.002646656
cat__country_y_SPA,0.0015165836
cat__room_type_E,0.0012366513
cat__country_y_POR,0.00072774186
cat__room_type_A,0.0005159887
cat__country_x_ITA,0.0
cat__distribution_channel_Direct,0.0
cat__market_segment_Direct,0.0
cat__room_type_D,0.0
